trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.87}",20,0,-99.16252982769996,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.7569}",25,0,-100.84578610636352,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.6585030000000001}",20,10,-6.239709861443412,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.5728976100000001}",30,9,-135.60526978834173,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.49842092070000005}",30,0,-89.12683760045843,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.433626201009}",30,0,-52.89029572975384,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.37725479487783004}",30,23,-3.2555179880071448,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.3282116715437121}",35,19,-8.027437925002012,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.28554415424302954}",30,13,-45.768526117750675,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.24842341419143568}",25,0,-175.14024922654278,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.21612837034654905}",20,11,-3.179601311343035,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.18803168220149769}",20,0,-35.74456325723695,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.16358756351530299}",20,15,8.830842450613378,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
